45,46,47,48,49,50,51,52
49,50,51,52,53,54,55,56
53,54,55,56,57,58,59,60
61,45,48,62,63,49,52,64
63,49,52,64,65,53,56,66
65,53,56,66,67,57,60,68
69,70,46,45,71,72,50,49
71,72,50,49,73,74,54,53
73,74,54,53,75,76,58,57
77,69,45,61,78,71,49,63
78,71,49,63,79,73,53,65
79,73,53,65,80,75,57,67
47,46,81,82,51,50,83,84
51,50,83,84,55,54,85,86
55,54,85,86,59,58,87,88
82,81,89,90,84,83,91,92
84,83,91,92,86,85,93,94
86,85,93,94,88,87,95,96
46,70,97,81,50,72,98,83
50,72,98,83,54,74,99,85
54,74,99,85,58,76,100,87
81,97,101,89,83,98,102,91
83,98,102,91,85,99,103,93
85,99,103,93,87,100,104,95
70,69,105,97,72,71,106,98
72,71,106,98,74,73,107,99
74,73,107,99,76,75,108,100
97,105,109,101,98,106,110,102
98,106,110,102,99,107,111,103
99,107,111,103,100,108,112,104
69,77,113,105,71,78,114,106
71,78,114,106,73,79,115,107
73,79,115,107,75,80,116,108
105,113,117,109,106,114,118,110
106,114,118,110,107,115,119,111
107,115,119,111,108,116,120,112
77,61,121,113,78,63,122,114
78,63,122,114,79,65,123,115
79,65,123,115,80,67,124,116
113,121,125,117,114,122,126,118
114,122,126,118,115,123,127,119
115,123,127,119,116,124,128,120
61,62,129,121,63,64,130,122
63,64,130,122,65,66,131,123
65,66,131,123,67,68,132,124
121,129,133,125,122,130,134,126
122,130,134,126,123,131,135,127
123,131,135,127,124,132,136,128
62,48,137,129,64,52,138,130
64,52,138,130,66,56,139,131
66,56,139,131,68,60,140,132
129,137,141,133,130,138,142,134
130,138,142,134,131,139,143,135
131,139,143,135,132,140,144,136
48,47,82,137,52,51,84,138
52,51,84,138,56,55,86,139
56,55,86,139,60,59,88,140
137,82,90,141,138,84,92,142
138,84,92,142,139,86,94,143
139,86,94,143,140,88,96,144
