134,135,136,265,264,263
135,137,136,267,266,264
138,139,140,270,269,268
139,141,140,272,271,269
142,143,144,275,274,273
145,23,146,278,277,276
147,16,148,281,280,279
149,150,151,284,283,282
152,146,153,287,286,285
152,154,146,289,288,287
149,155,150,291,290,284
156,157,158,294,293,292
157,159,158,296,295,293
160,137,135,298,267,297
160,20,137,300,299,298
161,162,163,303,302,301
134,164,135,305,304,265
134,165,164,307,306,305
162,45,163,309,308,302
143,53,144,311,310,274
144,53,52,310,119,312
166,142,144,314,273,313
166,167,142,316,315,314
168,169,170,319,318,317
169,167,170,321,320,318
171,172,173,324,323,322
174,175,176,327,326,325
175,177,176,329,328,326
178,179,180,332,331,330
179,181,180,334,333,331
180,182,178,336,335,330
180,183,182,338,337,336
184,179,178,340,332,339
184,65,179,342,341,340
185,186,187,345,344,343
138,188,189,348,347,346
190,166,191,351,350,349
190,192,166,353,352,351
173,137,171,355,354,322
45,44,163,111,356,308
170,192,193,359,358,357
194,173,172,361,323,360
195,196,197,364,363,362
138,198,188,366,365,348
199,200,147,369,368,367
200,17,147,371,370,368
201,170,193,373,357,372
171,19,172,375,374,324
201,168,170,376,317,373
201,13,168,378,377,376
188,190,202,381,380,379
188,203,190,383,382,381
166,144,204,313,385,384
144,52,204,312,386,385
205,201,193,388,372,387
206,169,168,390,319,389
205,193,207,387,392,391
193,203,207,394,393,392
189,139,138,395,270,346
189,208,139,397,396,395
138,140,198,268,398,366
140,209,198,400,399,398
205,14,201,402,401,388
210,209,199,405,404,403
190,191,211,349,407,406
191,51,211,409,408,407
139,208,212,396,411,410
208,48,212,413,412,411
210,199,148,403,415,414
210,198,209,416,399,405
213,214,194,419,418,417
196,215,197,421,420,363
188,202,216,379,423,422
202,50,216,425,424,423
147,148,199,279,415,367
196,217,215,427,426,421
212,195,197,429,362,428
212,47,195,431,430,429
214,141,194,433,432,418
191,166,204,350,384,434
212,197,139,428,435,410
197,141,139,436,272,435
189,216,208,438,437,397
218,150,155,440,290,439
218,42,150,442,441,440
207,210,148,444,414,443
207,203,210,393,445,444
202,190,211,380,406,446
200,199,214,369,448,447
187,219,177,451,450,449
220,196,195,453,364,452
200,214,213,447,419,454
189,188,216,347,422,438
219,221,177,456,455,450
208,216,49,437,458,457
207,148,205,443,459,391
214,140,141,460,271,433
213,194,172,417,360,461
174,8,222,464,463,462
9,8,174,75,464,465
223,221,224,468,467,466
224,221,225,467,470,469
158,226,227,473,472,471
158,183,226,475,474,473
227,226,175,472,477,476
226,177,175,478,329,477
227,228,158,480,479,471
174,229,9,482,481,465
161,163,230,301,484,483
230,218,161,486,485,483
161,218,165,485,488,487
231,38,232,491,490,489
233,234,235,494,493,492
233,28,234,496,495,494
236,228,237,499,498,497
236,4,228,501,500,499
238,239,240,504,503,502
241,240,239,506,503,505
238,240,37,502,508,507
38,37,240,104,508,509
233,239,28,511,510,496
239,29,28,512,95,510
229,10,9,513,76,481
242,243,185,516,515,514
206,244,169,518,517,390
238,29,239,519,512,504
206,12,244,521,520,518
179,65,64,341,131,522
245,242,181,525,524,523
245,55,242,527,526,525
179,245,181,528,523,334
59,246,60,530,529,126
59,58,246,125,531,530
245,179,64,528,522,532
244,224,169,534,533,517
167,169,225,321,536,535
224,225,169,469,536,533
151,247,149,538,537,282
151,232,247,540,539,538
247,145,146,542,276,541
154,247,146,543,541,288
247,154,149,543,544,537
167,225,142,535,545,315
242,54,243,547,546,516
2,156,3,549,548,69
156,2,248,549,551,550
156,4,3,552,70,548
217,249,136,555,554,553
250,219,186,558,557,556
196,249,217,559,555,427
155,149,154,291,544,560
193,192,203,358,561,394
241,251,240,563,562,506
203,192,190,561,353,382
252,238,36,566,565,564
29,238,252,519,566,567
218,155,165,439,568,488
155,164,165,569,306,568
155,152,164,571,570,569
250,225,219,573,572,558
54,53,143,120,311,574
35,253,252,577,576,575
252,253,30,576,579,578
226,187,177,580,449,478
183,187,226,581,580,474
222,237,228,583,498,582
228,227,222,480,584,582
27,26,234,93,586,585
234,25,235,588,587,493
234,26,25,586,92,588
254,184,159,591,590,589
137,173,136,355,592,266
242,185,181,514,593,524
242,55,54,526,121,547
183,158,182,475,594,337
159,178,182,596,335,595
182,158,159,594,295,595
232,251,247,598,597,539
66,184,254,600,591,599
203,198,210,601,416,445
198,203,188,601,383,365
62,255,256,604,603,602
256,255,56,603,606,605
135,257,160,608,607,297
135,164,257,304,609,608
247,251,145,597,610,542
21,160,257,612,607,611
7,6,236,73,614,613
254,0,66,615,133,599
254,159,157,589,296,616
236,6,5,614,72,617
156,248,157,550,618,294
231,232,151,489,540,619
231,151,40,619,621,620
23,153,146,622,286,277
41,40,151,107,621,623
244,223,224,624,466,534
244,11,223,626,625,624
42,41,150,108,627,441
33,32,258,99,629,628
239,233,241,511,630,505
258,32,31,629,98,631
235,259,233,633,632,492
241,233,259,630,632,634
235,24,259,636,635,633
153,23,22,622,89,637
24,23,259,90,638,635
63,256,245,641,640,639
245,256,55,640,642,527
220,162,196,644,643,453
220,46,162,646,645,644
173,217,136,647,553,592
219,225,221,572,470,456
184,178,159,339,596,590
184,66,65,600,132,342
180,185,183,649,648,338
181,185,180,593,649,333
251,232,240,598,650,562
240,232,38,650,490,509
223,176,221,652,651,468
219,187,186,451,344,557
155,154,152,560,289,571
237,222,8,583,463,653
8,7,237,74,654,653
152,153,257,285,656,655
235,25,24,587,91,636
257,164,152,609,570,655
257,22,21,657,88,611
257,153,22,656,637,657
160,21,20,612,87,300
170,167,192,320,658,359
192,167,166,658,316,352
251,241,259,563,634,659
259,145,251,660,610,659
23,145,259,278,660,638
63,62,256,129,602,641
56,55,256,122,642,605
30,29,252,96,567,578
36,35,252,102,575,564
151,150,41,283,627,623
218,230,42,486,661,442
215,217,194,426,663,662
2,1,248,68,664,551
