1,3,15,22,1,22,39,46,22,15,63,39,15,3,83,63,3,1,46,83,46,39,63,83
2,2,2,2,32,32,32,32,56,56,56,56,76,76,76,76,96,96,96,96,112,112,112,112
3,15,22,1,22,39,46,1,15,63,39,22,3,83,63,15,1,46,83,3,39,63,83,46
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,6,16,23,33,34,40,47,57,58,64,70,77,78,84,90,97,98,103,106,113,114,119,122
6,16,23,5,34,40,47,33,58,64,70,57,78,84,90,77,98,103,106,97,114,119,122,113
7,17,24,29,29,41,48,53,24,65,71,41,17,85,91,65,7,53,107,85,48,71,91,107
8,10,18,25,8,25,42,49,25,18,66,42,18,10,86,66,10,8,49,86,49,42,66,86
9,9,9,9,35,35,35,35,59,59,59,59,79,79,79,79,99,99,99,99,115,115,115,115
10,18,25,8,25,42,49,8,18,66,42,25,10,86,66,18,8,49,86,10,42,66,86,49
11,19,26,30,36,43,50,54,60,67,72,75,80,87,92,95,100,104,108,111,116,120,123,125
13,20,27,12,38,44,51,37,62,68,73,61,82,88,93,81,102,105,109,101,118,121,124,117
14,21,28,31,31,45,52,55,28,69,74,45,21,89,94,69,14,55,110,89,52,74,94,110
12,13,20,27,37,38,44,51,61,62,68,73,81,82,88,93,101,102,105,109,117,118,121,124
