281,307,300,316,338,337,336,335,339
225,289,298,265,343,342,341,340,344
229,279,317,280,348,347,346,345,349
313,278,221,301,353,352,351,350,354
316,293,294,303,358,357,356,355,359
247,182,191,192,363,362,361,360,364
199,38,37,36,366,121,120,365,367
279,296,320,317,370,369,368,347,371
240,258,256,210,375,374,373,372,376
318,232,189,265,380,379,378,377,381
46,45,255,208,129,384,383,382,385
278,313,321,306,353,388,387,386,389
256,69,68,67,391,152,151,390,392
301,221,292,305,351,395,394,393,396
315,304,275,328,400,399,398,397,401
73,72,71,196,156,155,403,402,404
271,277,303,294,407,406,356,405,408
45,262,274,255,411,410,409,384,412
308,233,228,264,416,415,414,413,417
315,274,276,304,420,419,418,400,421
71,70,258,196,154,423,422,403,424
51,177,213,52,427,426,425,135,428
317,320,322,330,368,431,430,429,432
322,320,333,326,431,435,434,433,436
275,304,235,173,399,439,438,437,440
178,186,4,3,443,442,87,441,444
184,247,192,195,447,360,446,445,448
201,183,181,234,452,451,450,449,453
319,270,224,238,457,456,455,454,458
331,217,246,273,462,461,460,459,463
198,278,306,237,466,386,465,464,467
248,184,195,242,470,445,469,468,471
246,217,1,0,461,473,84,472,474
280,228,214,236,478,477,476,475,479
239,7,6,193,482,90,481,480,483
309,285,291,231,487,486,485,484,488
33,32,191,253,116,491,490,489,492
274,262,234,276,410,494,493,419,495
259,186,231,291,498,497,485,496,499
42,41,182,247,125,501,363,500,502
299,264,228,280,504,414,478,503,505
236,214,77,185,476,508,507,506,509
233,287,188,209,513,512,511,510,514
319,194,208,255,517,516,383,515,518
270,328,321,314,522,521,520,519,523
44,43,184,248,127,525,470,524,526
66,65,200,210,149,529,528,527,530
331,2,1,217,531,85,473,462,532
311,308,330,322,535,534,430,533,536
0,83,188,246,167,538,537,472,539
40,39,38,199,123,122,366,540,541
238,224,177,218,455,544,543,542,545
181,27,26,204,548,110,547,546,549
330,299,280,317,550,503,346,429,551
77,240,257,185,554,553,552,507,555
278,198,169,221,466,557,556,352,558
328,275,306,321,398,559,387,521,560
302,266,312,327,564,563,562,561,565
64,168,279,229,568,567,348,566,569
208,194,49,48,516,571,132,570,572
239,291,285,180,575,486,574,573,576
192,191,32,31,361,491,115,577,578
304,276,204,235,418,580,579,439,581
241,180,285,286,584,574,583,582,585
173,235,25,24,438,587,108,586,588
