0,1,3,4,6,5
7,8,2,11,10,9
12,8,7,14,11,13
3,1,21,6,23,22
24,26,25,30,29,28
7,31,12,33,32,13
36,15,18,39,20,40
27,41,42,43,44,45
26,24,46,30,48,47
49,53,42,54,55,52
27,57,58,59,61,60
46,56,26,62,63,47
35,17,64,37,66,65
67,16,17,69,19,68
41,49,42,72,52,44
27,58,41,60,73,43
74,0,3,75,5,76
79,53,81,82,84,83
85,36,18,86,40,87
7,88,31,90,89,33
25,50,91,51,93,92
96,94,97,98,99,100
3,21,101,22,102,103
80,70,50,104,71,105
17,16,106,19,108,107
50,70,91,71,119,93
25,91,24,92,120,28
57,121,58,122,123,61
1,77,21,78,124,23
125,121,57,126,122,127
53,49,81,54,128,84
64,129,132,133,135,134
27,140,57,141,142,59
143,34,36,144,38,145
109,137,21,139,146,147
79,117,148,118,150,149
131,151,152,153,155,154
140,125,57,157,127,142
53,79,148,82,149,158
117,159,161,162,163,164
165,121,125,167,126,168
129,64,17,133,66,130
111,136,171,138,173,172
137,109,179,139,181,180
21,137,101,146,182,102
111,110,136,113,183,138
188,179,189,190,192,191
80,115,70,116,193,104
194,3,101,195,103,196
12,197,8,199,198,14
77,109,21,200,147,124
85,143,36,201,145,86
202,203,143,206,205,204
17,35,67,37,207,68
208,7,2,209,9,210
208,88,7,211,90,209
194,74,3,215,76,195
12,31,171,32,219,218
136,12,171,170,218,173
194,226,221,228,227,223
216,174,152,217,178,229
85,202,143,230,204,201
111,171,231,172,233,232
188,137,179,225,180,190
35,117,67,235,236,207
109,112,179,114,237,181
221,74,194,238,215,223
231,187,111,240,239,232
56,226,26,242,241,63
79,159,117,243,162,118
115,80,202,116,245,244
117,35,148,235,224,150
56,246,221,249,248,247
79,81,159,83,250,243
202,80,203,245,251,206
140,88,125,222,253,157
56,221,226,247,227,242
46,246,56,254,249,62
17,106,129,107,213,130
202,160,115,263,262,244
112,109,264,114,266,265
221,246,166,248,268,267
50,203,80,270,251,105
271,165,125,272,168,273
175,176,281,177,283,282
88,208,125,211,284,253
12,136,197,170,285,199
161,159,287,163,289,288
290,121,165,291,167,292
152,174,212,178,295,294
296,95,185,298,252,297
36,34,305,38,307,306
221,166,308,267,310,309
161,311,117,312,313,164
175,129,106,315,213,314
15,305,212,316,317,214
117,311,67,313,321,236
185,281,176,322,283,186
34,131,305,169,323,307
221,308,74,309,324,238
300,325,299,326,327,301
95,132,281,286,329,328
281,129,175,334,315,282
