1,2,4,3,5,6,8,7
2,28,3,29,6,30,7,31
3,29,46,64,7,31,48,65
4,3,47,46,8,7,49,48
5,6,8,7,76,77,79,78
6,30,7,31,77,94,78,95
7,31,48,65,78,95,106,118
8,7,49,48,79,78,107,106
9,32,11,34,17,37,19,39
10,33,50,66,18,38,55,69
11,34,51,67,19,39,56,70
12,10,52,50,20,18,57,55
13,14,16,15,80,81,83,82
14,35,15,36,81,96,82,97
15,36,53,68,82,97,108,119
16,15,54,53,83,82,109,108
17,37,19,39,84,98,86,100
18,38,55,69,85,99,110,120
19,39,56,70,86,100,111,121
20,18,57,55,87,85,112,110
27,45,63,75,93,105,117,125
21,40,58,71,26,44,62,74
26,44,62,74,92,104,116,124
25,23,61,59,91,89,115,113
23,42,59,72,89,102,113,122
22,41,24,43,88,101,90,103
24,43,60,73,90,103,114,123
