0,1,2,3
1,4,5,2
4,6,7,5
6,8,9,7
10,11,12,13
11,14,15,12
14,16,17,15
16,18,19,17
13,12,20,21
12,15,22,20
15,17,23,22
17,19,3,23
21,20,24,25
20,22,26,24
22,23,27,26
23,3,2,27
25,24,28,29
24,26,30,28
26,27,31,30
27,2,5,31
29,28,32,33
28,30,34,32
30,31,35,34
31,5,7,35
33,32,36,37
32,34,38,36
34,35,39,38
35,7,9,39
37,36,40,41
36,38,42,40
38,39,43,42
39,9,44,43
41,40,45,46
40,42,47,45
42,43,48,47
43,44,49,48
10,50,51,11
11,51,52,14
14,52,53,16
16,53,54,18
50,55,56,51
51,56,57,52
52,57,58,53
53,58,59,54
55,60,61,56
56,61,62,57
57,62,63,58
58,63,64,59
60,65,66,61
61,66,67,62
62,67,68,63
63,68,69,64
46,45,70,71
45,47,72,70
47,48,73,72
48,49,74,73
71,70,75,76
70,72,77,75
72,73,78,77
73,74,79,78
76,75,80,81
75,77,82,80
77,78,83,82
78,79,84,83
81,80,66,65
80,82,67,66
82,83,68,67
83,84,69,68
59,64,85,86
64,69,87,85
69,84,88,87
84,79,89,88
