67,68,69
68,70,69
71,72,73
72,74,73
75,76,77
78,23,79
80,16,81
82,83,84
85,79,86
85,87,79
82,88,83
89,90,91
90,92,91
93,70,68
93,20,70
94,95,96
67,97,68
67,98,97
95,45,96
76,53,77
77,53,52
99,75,77
99,100,75
101,102,103
102,100,103
104,105,106
107,108,109
108,110,109
111,112,113
112,114,113
113,115,111
113,116,115
117,112,111
117,65,112
118,119,120
71,121,122
123,99,124
123,125,99
106,70,104
45,44,96
103,125,126
127,106,105
128,129,130
71,131,121
132,133,80
133,17,80
134,103,126
104,19,105
134,101,103
134,13,101
121,123,135
121,136,123
99,77,137
77,52,137
138,134,126
139,102,101
138,126,140
126,136,140
122,72,71
122,141,72
71,73,131
73,142,131
138,14,134
143,142,132
123,124,144
124,51,144
72,141,145
141,48,145
143,132,81
143,131,142
146,147,127
129,148,130
121,135,149
135,50,149
80,81,132
129,150,148
145,128,130
145,47,128
147,74,127
124,99,137
145,130,72
130,74,72
122,149,141
151,83,88
151,42,83
140,143,81
140,136,143
135,123,144
133,132,147
120,152,110
153,129,128
133,147,146
122,121,149
152,154,110
141,149,49
140,81,138
147,73,74
146,127,105
107,8,155
9,8,107
156,154,157
157,154,158
91,159,160
91,116,159
160,159,108
159,110,108
160,161,91
107,162,9
94,96,163
163,151,94
94,151,98
164,38,165
166,167,168
166,28,167
169,161,170
169,4,161
171,172,173
174,173,172
171,173,37
38,37,173
166,172,28
172,29,28
162,10,9
175,176,118
139,177,102
171,29,172
139,12,177
112,65,64
178,175,114
178,55,175
112,178,114
59,179,60
59,58,179
178,112,64
177,157,102
100,102,158
157,158,102
84,180,82
84,165,180
180,78,79
87,180,79
180,87,82
100,158,75
175,54,176
2,89,3
89,2,181
89,4,3
150,182,69
183,152,119
129,182,150
88,82,87
126,125,136
174,184,173
136,125,123
185,171,36
29,171,185
151,88,98
88,97,98
88,85,97
183,158,152
54,53,76
35,186,185
185,186,30
159,120,110
116,120,159
155,170,161
161,160,155
27,26,167
167,25,168
167,26,25
187,117,92
70,106,69
175,118,114
175,55,54
116,91,115
92,111,115
115,91,92
165,184,180
66,117,187
136,131,143
131,136,121
62,188,189
189,188,56
68,190,93
68,97,190
180,184,78
21,93,190
7,6,169
187,0,66
187,92,90
169,6,5
89,181,90
164,165,84
164,84,40
23,86,79
41,40,84
177,156,157
177,11,156
42,41,83
33,32,191
172,166,174
191,32,31
168,192,166
174,166,192
168,24,192
86,23,22
24,23,192
63,189,178
178,189,55
153,95,129
153,46,95
106,150,69
152,158,154
117,111,92
117,66,65
113,118,116
114,118,113
184,165,173
173,165,38
156,109,154
152,120,119
88,87,85
170,155,8
8,7,170
85,86,190
168,25,24
190,97,85
190,22,21
190,86,22
93,21,20
103,100,125
125,100,99
184,174,192
192,78,184
23,78,192
63,62,189
56,55,189
30,29,185
36,35,185
84,83,41
151,163,42
148,150,127
2,1,181
62,61,188
57,56,188
181,1,187
187,90,181
37,36,171
187,1,0
31,30,186
35,34,186
148,74,130
15,14,138
127,74,148
13,12,139
28,27,167
76,75,183
183,119,76
104,20,19
64,63,178
142,147,132
183,75,158
138,81,15
182,129,193
135,144,50
163,43,42
44,163,96
44,43,163
155,160,108
194,58,57
194,188,61
108,107,155
57,188,194
47,153,128
18,133,146
146,105,18
14,13,134
137,52,51
177,12,11
48,47,145
95,94,193
193,129,95
124,137,51
193,94,182
81,16,15
20,104,70
95,46,45
147,142,73
13,139,101
110,154,109
179,194,61
61,60,179
58,194,179
169,5,4
169,170,7
118,120,116
144,51,50
162,156,10
191,186,34
34,33,191
31,186,191
47,46,153
49,48,141
94,98,182
156,11,10
18,17,133
162,107,109
149,50,49
109,156,162
164,39,38
80,17,16
40,39,164
105,19,18
67,69,182
182,98,67
195,161,4
195,89,91
91,161,195
4,89,195
127,150,106
176,76,119
119,118,176
54,76,176
