174,117,152,7
167,60,129,155
86,95,139,15
33,116,70,22
121,64,53,118
135,91,182,55
136,101,177,57
181,142,167,12
34,156,20,51
153,130,87,55
176,45,160,102
87,178,153,135
173,101,157,46
112,133,125,6
137,120,3,35
97,39,141,58
113,104,96,74
183,34,184,51
30,116,33,22
185,54,92,91
38,102,45,155
174,183,117,51
117,183,184,51
176,169,162,155
137,120,115,3
186,63,54,83
187,90,76,62
50,166,70,43
153,135,182,55
162,134,176,45
132,147,103,32
78,142,188,172
159,124,85,6
176,102,167,155
124,6,159,79
123,181,149,12
161,87,168,62
29,28,9,189
154,187,76,62
34,138,184,51
166,93,138,51
176,157,160,45
165,163,113,75
156,174,7,51
140,190,139,86
156,7,79,51
134,162,164,75
152,146,191,174
141,97,144,39
92,54,185,63
69,159,85,6
112,24,173,46
145,187,168,90
8,192,83,10
74,155,45,75
193,184,183,34
126,179,13,16
65,82,25,15
98,137,115,3
122,166,50,43
122,56,166,43
21,194,19,30
136,177,107,57
161,108,89,62
169,129,170,155
146,195,5,152
99,154,196,61
150,158,109,58
47,97,150,58
87,197,89,161
20,156,65,79
198,114,81,16
34,33,180,138
40,84,131,35
13,199,86,14
87,119,168,62
17,125,200,18
182,91,92,55
92,109,158,55
34,193,184,138
83,192,111,10
28,115,201,29
176,160,167,102
25,82,140,15
174,191,152,117
124,146,4,7
175,119,130,105
114,198,179,16
142,202,172,12
137,106,120,35
201,2,115,28
134,157,176,45
175,145,119,105
163,169,170,155
117,174,203,183
100,15,151,32
126,69,114,16
130,153,158,55
59,196,154,61
92,153,182,55
186,111,63,83
184,117,203,183
187,168,90,62
13,204,14,179
194,33,19,30
9,29,189,23
78,188,142,77
78,172,127,12
99,66,108,62
162,165,164,75
4,195,5,146
151,139,95,15
18,125,200,85
73,152,71,7
121,66,128,118
175,104,145,105
205,81,114,68
162,163,165,75
143,158,141,58
171,187,145,90
156,7,124,79
175,130,143,105
124,156,174,7
166,56,93,43
179,126,114,16
94,53,91,55
87,197,161,168
99,161,206,62
143,132,175,105
30,21,207,26
179,198,148,16
169,167,129,155
124,174,146,7
147,100,151,32
150,141,158,58
139,151,100,15
198,81,164,16
52,0,123,208
172,209,52,12
173,177,101,46
149,160,101,102
152,117,71,7
24,72,177,46
172,202,209,12
207,30,26,100
161,168,206,62
14,204,148,179
170,187,171,90
86,190,139,95
184,93,117,51
128,64,121,118
202,188,142,172
95,86,199,14
0,210,2,1
127,52,128,12
202,123,209,12
160,181,167,102
170,76,187,90
156,183,174,51
52,209,123,12
24,177,173,46
92,158,153,55
160,149,181,102
169,176,167,155
128,110,64,118
138,93,184,51
154,99,206,62
203,191,174,117
94,91,135,55
187,154,168,62
114,81,205,198
183,156,34,51
40,131,106,35
211,78,61,77
123,209,52,208
115,2,210,1
34,180,193,138
186,192,111,83
198,164,148,16
131,120,106,35
205,81,68,80
206,168,154,62
212,9,189,23
202,142,181,12
159,65,156,79
147,151,103,32
97,141,150,58
185,92,182,91
13,204,199,14
178,182,153,135
0,1,123,208
188,78,211,77
115,2,201,210
26,213,207,100
161,197,206,168
5,214,195,4
151,96,103,32
196,154,99,206
215,179,114,198
99,108,161,62
125,216,200,85
205,215,114,198
156,124,159,79
146,191,195,152
181,123,202,12
33,180,194,19
204,215,148,179
178,87,197,89
61,59,211,77
213,190,139,140
52,127,172,12
215,148,179,198
199,190,86,95
1,0,210,208
21,207,194,30
54,185,63,186
201,28,29,189
209,188,202,172
17,200,214,18
68,216,205,80
59,196,61,211
212,192,8,10
203,193,184,183
15,20,21,25
15,21,20,22
7,72,46,37
7,46,72,73
16,82,79,15
16,79,82,126
65,79,82,15
65,82,79,126
14,86,15,95
14,15,86,13
80,85,216,125
216,85,80,68
12,2,110,3
12,110,2,52
43,7,22,37
43,22,7,51
79,22,7,37
79,7,22,51
102,98,12,3
102,12,98,149
9,10,212,8
212,10,9,23
51,70,33,138
51,33,70,22
45,133,46,6
45,46,133,157
75,6,134,45
75,134,6,16
19,30,22,21
22,30,19,33
95,32,27,96
27,32,95,15
100,140,213,139
213,140,100,26
46,107,37,72
46,37,107,57
41,37,107,72
41,107,37,57
148,75,164,165
164,75,148,16
136,102,98,149
98,102,136,57
61,154,62,99
61,62,154,59
4,17,214,18
4,214,17,5
167,12,102,181
102,12,167,60
