281,307,300,316,338,337,336,335
225,289,298,265,342,341,340,339
229,279,317,280,346,345,344,343
313,278,221,301,350,349,348,347
316,293,294,303,354,353,352,351
247,182,191,192,358,357,356,355
199,38,37,36,360,121,120,359
279,296,320,317,363,362,361,345
240,258,256,210,367,366,365,364
318,232,189,265,371,370,369,368
46,45,255,208,129,374,373,372
278,313,321,306,350,377,376,375
256,69,68,67,379,152,151,378
301,221,292,305,348,382,381,380
315,304,275,328,386,385,384,383
73,72,71,196,156,155,388,387
271,277,303,294,391,390,352,389
45,262,274,255,394,393,392,374
308,233,228,264,398,397,396,395
315,274,276,304,401,400,399,386
71,70,258,196,154,403,402,388
51,177,213,52,406,405,404,135
317,320,322,330,361,409,408,407
322,320,333,326,409,412,411,410
275,304,235,173,385,415,414,413
178,186,4,3,418,417,87,416
184,247,192,195,421,355,420,419
201,183,181,234,425,424,423,422
319,270,224,238,429,428,427,426
331,217,246,273,433,432,431,430
198,278,306,237,436,375,435,434
248,184,195,242,439,419,438,437
246,217,1,0,432,441,84,440
280,228,214,236,445,444,443,442
239,7,6,193,448,90,447,446
309,285,291,231,452,451,450,449
33,32,191,253,116,455,454,453
274,262,234,276,393,457,456,400
259,186,231,291,460,459,450,458
42,41,182,247,125,462,358,461
299,264,228,280,464,396,445,463
236,214,77,185,443,467,466,465
233,287,188,209,471,470,469,468
319,194,208,255,474,473,373,472
270,328,321,314,478,477,476,475
44,43,184,248,127,480,439,479
66,65,200,210,149,483,482,481
331,2,1,217,484,85,441,433
311,308,330,322,487,486,408,485
0,83,188,246,167,489,488,440
40,39,38,199,123,122,360,490
238,224,177,218,427,493,492,491
181,27,26,204,496,110,495,494
330,299,280,317,497,463,344,407
77,240,257,185,500,499,498,466
278,198,169,221,436,502,501,349
328,275,306,321,384,503,376,477
302,266,312,327,507,506,505,504
64,168,279,229,510,509,346,508
208,194,49,48,473,512,132,511
239,291,285,180,515,451,514,513
192,191,32,31,356,455,115,516
304,276,204,235,399,518,517,415
241,180,285,286,521,514,520,519
173,235,25,24,414,523,108,522
183,28,27,181,524,111,496,424
290,314,321,313,526,476,377,525
323,334,310,297,530,529,528,527
298,327,325,329,534,533,532,531
180,241,9,8,521,536,92,535
297,310,284,220,528,539,538,537
220,286,324,297,542,541,540,537
190,240,77,76,544,500,160,543
46,208,48,47,372,511,131,130
239,180,8,7,513,535,91,448
76,75,196,190,159,546,545,543
334,329,325,310,548,532,547,529
295,305,277,271,551,550,391,549
310,325,282,284,547,553,552,539
312,266,244,170,506,556,555,554
234,262,45,201,457,394,557,422
241,171,10,9,559,558,93,536
206,11,10,171,561,94,558,560
309,324,286,285,562,541,520,452
168,268,296,279,564,563,363,509
245,303,277,222,567,390,566,565
204,26,25,235,495,109,523,517
171,241,286,220,559,519,542,568
82,81,80,209,165,164,570,569
249,170,13,12,573,572,96,571
266,283,175,244,576,575,574,556
249,282,312,170,578,577,554,573
172,18,17,202,581,101,580,579
245,172,202,281,584,579,583,582
83,82,209,188,166,569,469,489
67,66,210,256,150,481,365,378
319,238,218,194,426,491,585,474
206,249,12,11,586,571,95,561
205,250,20,19,589,588,103,587
186,178,267,231,418,591,590,459
170,244,14,13,555,592,97,572
194,218,50,49,585,593,133,512
244,175,15,14,574,594,98,592
283,307,243,175,597,596,595,575
242,29,28,183,599,112,524,598
242,195,30,29,438,600,113,599
195,192,31,30,420,516,114,600
253,251,36,203,604,603,602,601
222,205,172,245,606,605,584,565
175,243,16,15,595,607,99,594
307,281,202,243,338,583,608,596
243,202,17,16,608,580,100,607
316,303,245,281,351,567,582,335
198,22,21,169,610,105,609,502
218,177,51,50,492,406,134,593
21,20,250,169,104,588,611,609
173,237,306,275,612,435,503,413
237,23,22,198,613,106,610,434
305,292,222,277,381,614,566,550
24,23,237,173,107,613,612,522
220,284,206,171,538,615,560,568
247,184,43,42,421,480,126,461
199,182,41,40,616,462,124,490
19,18,172,205,102,581,605,587
250,292,221,169,617,382,501,611
302,332,283,266,619,618,576,507
179,78,77,214,621,161,467,620
234,181,204,276,423,494,518,456
331,178,3,2,622,416,86,484
302,289,288,332,625,624,623,619
75,74,73,196,158,157,387,546
288,289,225,260,624,342,627,626
232,168,64,63,629,510,147,628
233,179,214,228,630,620,444,397
231,267,326,309,590,632,631,449
323,296,268,318,635,563,634,633
232,63,62,189,628,146,636,370
319,315,328,270,637,383,478,429
267,311,322,326,638,485,410,632
305,295,272,301,551,640,639,380
324,309,326,333,562,631,411,641
289,302,327,298,625,504,534,341
263,176,207,227,645,644,643,642
