0,1,2,3
190,120,184,132
249,184,195,178
57,264,40,265
106,122,45,90
188,187,155,148
252,13,151,138
90,50,106,149
146,152,118,129
135,125,266,147
136,91,171,113
267,226,241,224
151,13,206,205
223,222,240,28
28,223,222,18
187,195,177,148
241,209,193,192
268,26,28,20
199,19,221,27
11,269,12,9
260,238,258,261
244,243,233,246
36,106,45,90
197,242,33,14
169,140,270,142
228,168,270,254
228,271,253,270
57,272,264,265
161,156,251,120
58,57,264,40
108,156,124,181
273,258,274,262
179,275,175,276
277,278,279,280
138,179,175,281
119,93,118,131
222,214,221,223
121,164,116,173
97,32,165,282
153,31,150,23
27,221,199,283
241,193,224,191
284,243,285,247
156,174,124,181
131,189,104,167
233,234,246,231
142,270,169,130
286,159,160,287
74,83,52,288
155,182,211,176
174,170,126,125
289,125,135,170
191,174,194,193
151,138,205,139
193,174,194,216
229,24,230,290
291,260,236,238
237,236,238,291
155,154,189,149
76,32,97,34
152,64,66,102
269,57,264,58
269,57,272,264
219,292,28,268
160,158,159,286
173,175,116,179
125,293,174,235
52,54,74,288
123,112,82,52
85,123,82,52
14,15,196,166
129,152,145,146
212,213,215,294
295,214,213,215
49,90,122,163
7,8,13,263
159,286,237,287
41,57,40,265
212,222,223,214
180,204,194,255
102,64,77,152
160,296,172,286
1,4,6,3
158,231,172,248
297,230,298,299
215,221,214,223
286,158,159,237
22,29,135,143
247,285,284,300
242,282,33,275
33,197,196,198
242,175,282,275
186,301,172,302
291,159,158,237
242,14,275,33
296,231,172,286
199,283,197,166
14,196,197,166
226,267,303,224
304,303,267,224
305,41,265,306
254,244,232,234
73,97,164,173
221,223,27,18
16,32,15,145
159,187,210,211
307,8,229,263
15,196,33,14
22,135,266,147
167,131,189,183
24,299,230,297
158,160,172,286
308,244,253,254
145,66,100,102
97,32,282,34
270,168,169,130
24,299,30,230
309,245,308,254
186,185,172,310
215,212,223,214
73,164,121,173
190,184,178,132
281,179,175,276
311,249,261,312
222,212,223,240
313,285,2,5
231,158,172,286
236,311,249,261
284,243,313,285
187,195,148,178
167,154,50,149
225,298,314,227
205,263,206,31
251,120,184,190
77,152,118,102
230,250,315,299
209,201,194,192
149,183,155,176
197,33,196,14
184,162,195,178
19,199,196,27
165,282,164,97
215,316,41,317
252,242,264,281
196,27,128,19
258,273,274,278
278,274,258,280
211,187,155,188
66,145,152,102
39,318,43,319
254,245,244,234
204,203,257,202
13,151,138,205
234,233,244,232
156,161,251,181
208,209,194,216
292,28,217,219
61,44,56,101
35,78,59,56
50,154,106,149
199,27,283,166
30,250,230,299
217,0,309,4
82,171,91,107
217,4,1,0
183,155,189,149
168,228,301,254
293,191,174,235
203,204,257,207
148,188,187,178
242,281,276,265
225,226,303,224
304,225,303,224
23,22,153,31
311,259,320,312
103,189,154,167
174,180,194,255
180,174,194,200
22,31,29,143
79,152,119,118
170,235,174,200
229,307,263,30
182,186,172,296
307,229,24,30
82,53,171,107
315,298,230,299
225,304,297,299
182,185,155,211
8,307,13,263
140,141,26,142
193,241,224,267
28,27,223,18
206,23,150,31
105,173,116,137
14,197,242,276
188,287,187,321
175,164,282,173
160,210,185,211
322,43,319,323
322,43,318,319
209,241,193,267
234,245,244,246
311,184,195,249
93,104,131,119
290,8,307,12
290,8,229,307
18,219,28,268
225,224,299,227
169,140,271,270
320,256,204,257
285,313,284,5
5,284,285,300
27,223,221,283
87,91,109,95
324,314,298,227
99,107,115,171
277,273,278,274
278,277,274,280
312,320,207,257
266,325,304,289
236,238,261,239
270,253,228,254
301,186,172,310
251,326,204,327
287,237,236,239
207,194,255,216
328,219,309,329
277,202,256,257
199,221,215,283
138,175,252,281
183,185,186,189
201,209,194,208
26,268,28,292
7,138,252,281
282,32,33,34
217,0,308,309
99,171,53,107
126,174,156,200
233,234,244,246
239,236,249,261
116,105,137,69
97,282,164,173
264,281,9,252
135,22,266,29
186,104,168,131
14,242,275,276
263,307,23,30
24,23,307,30
270,140,292,142
252,264,11,9
234,172,231,232
244,308,245,254
141,26,19,128
275,242,175,276
298,315,324,227
141,140,26,128
302,254,301,234
168,169,228,270
169,271,228,270
251,161,190,327
212,215,223,294
272,12,9,8
12,272,9,269
69,115,107,144
252,13,138,7
197,317,199,198
193,304,267,224
235,191,174,200
247,285,245,243
285,243,244,245
308,245,309,300
259,236,260,261
24,290,229,307
170,174,126,200
326,251,204,330
277,203,257,279
302,172,186,296
263,206,13,205
326,204,320,330
40,264,305,265
172,231,232,248
12,8,307,13
309,0,300,4
226,225,314,227
258,274,259,261
274,259,262,258
328,217,308,309
211,287,187,188
131,189,186,104
325,297,304,299
232,254,301,253
167,189,154,149
159,237,236,287
331,187,287,321
161,251,181,327
242,252,175,281
311,236,259,261
259,311,261,312
254,301,168,302
125,289,135,266
238,236,261,260
83,288,86,47
237,159,236,291
207,194,204,255
264,269,11,9
317,316,41,306
44,37,48,38
215,213,319,323
172,234,231,296
285,247,245,300
36,46,35,37
302,172,234,301
43,319,41,39
40,319,39,41
160,159,210,211
274,320,259,312
26,292,140,142
287,236,331,321
185,183,186,182
47,85,123,88
172,185,182,160
71,94,92,67
281,175,242,276
81,67,72,68
213,215,294,323
319,295,213,215
255,194,174,216
207,326,320,312
253,301,228,254
332,297,304,325
189,131,186,183
41,305,265,40
253,271,328,270
185,172,157,160
322,295,319,318
319,213,322,323
293,224,235,289
26,141,19,20
325,266,304,332
0,309,300,308
20,26,141,142
328,268,219,329
207,320,204,257
