221,187,36,35,322,321,117,320,323
276,314,315,306,327,326,325,324,328
260,301,311,316,332,331,330,329,333
174,217,270,183,337,336,335,334,338
242,175,290,261,342,341,340,339,343
190,219,260,236,347,346,345,344,348
182,68,195,203,352,351,350,349,353
184,190,4,3,356,355,85,354,357
319,292,318,307,361,360,359,358,362
245,188,38,37,365,364,119,363,366
189,74,73,206,369,155,368,367,370
187,44,43,245,373,125,372,371,374
259,173,191,216,378,377,376,375,379
176,256,297,223,383,382,381,380,384
274,257,286,295,388,387,386,385,389
274,244,185,257,392,391,390,388,393
253,215,255,296,397,396,395,394,398
252,308,319,287,402,401,400,399,403
173,259,300,225,378,406,405,404,407
216,191,234,249,376,410,409,408,411
182,204,189,70,415,414,413,412,416
34,33,32,199,115,114,418,417,419
308,252,283,289,402,422,421,420,423
217,174,222,262,337,426,425,424,427
306,315,281,309,325,430,429,428,431
250,177,238,299,435,434,433,432,436
263,211,192,228,440,439,438,437,441
201,199,32,31,443,418,113,442,444
233,47,218,268,448,447,446,445,449
47,233,49,48,448,450,130,129,451
183,81,80,174,453,162,452,334,454
173,27,26,191,456,108,455,377,457
283,263,212,279,461,460,459,458,462
236,260,316,302,345,329,464,463,465
175,225,300,290,467,405,466,341,468
264,210,282,284,472,471,470,469,473
279,310,289,283,475,474,421,458,476
265,278,296,255,479,478,395,477,480
226,165,192,211,483,482,439,481,484
170,22,21,232,487,103,486,485,488
292,227,193,264,492,491,490,489,493
251,288,229,197,497,496,495,494,498
295,286,216,249,386,500,408,499,501
288,251,310,312,497,504,503,502,505
70,69,68,182,151,150,352,412,506
270,217,311,301,336,508,331,507,509
222,179,224,271,513,512,511,510,514
224,67,66,177,517,148,516,515,518
290,300,268,218,466,520,446,519,521
254,293,167,231,525,524,523,522,526
199,201,242,181,443,529,528,527,530
215,170,232,255,532,485,531,396,533
285,312,310,279,535,503,475,534,536
41,40,39,202,122,121,538,537,539
259,256,268,300,541,540,520,406,542
213,254,231,180,545,522,544,543,546
49,233,176,50,450,548,547,131,549
8,7,6,208,89,88,551,550,552
203,195,224,179,350,554,512,553,555
278,265,226,287,479,558,557,556,559
246,266,196,230,563,562,561,560,564
166,228,17,16,567,566,98,565,568
165,19,18,192,570,100,569,482,571
179,78,77,203,573,159,572,553,574
306,309,246,293,428,577,576,575,578
264,193,164,210,490,580,579,472,581
208,186,9,8,583,582,90,550,584
66,65,171,243,147,587,586,585,588
46,178,218,47,590,589,447,128,591
189,204,75,74,414,592,156,369,593
266,246,309,285,563,577,595,594,596
311,317,305,316,599,598,597,330,600
222,174,80,79,426,452,161,601,602
267,198,227,292,605,604,492,603,606
235,164,58,57,609,608,139,607,610
239,200,56,55,613,612,137,611,614
223,51,50,176,615,132,547,380,616
255,232,194,265,531,618,617,477,619
29,175,242,201,621,342,529,620,622
302,294,213,273,626,625,624,623,627
263,283,252,211,461,422,628,440,629
314,299,238,303,632,433,631,630,633
236,5,4,190,634,86,355,344,635
205,180,11,10,638,637,92,636,639
240,0,81,183,641,163,453,640,642
197,63,62,169,645,144,644,643,646
294,305,314,276,649,648,327,647,650
204,241,76,75,652,651,157,592,653
199,181,35,34,527,654,116,417,655
294,276,254,213,647,656,545,625,657
197,169,214,251,643,659,658,494,660
222,79,78,179,601,160,573,513,661
203,77,76,241,572,158,651,662,663
309,313,312,285,665,664,535,595,666
180,231,12,11,544,667,93,637,668
293,246,230,167,576,560,669,524,670
167,230,14,13,669,672,95,671,673
310,251,214,289,504,658,674,474,675
66,243,238,177,585,676,434,516,677
231,167,13,12,523,671,94,667,678
221,45,44,187,679,126,373,322,680
234,191,26,25,410,455,107,681,682
43,42,188,245,124,683,365,372,684
256,176,233,268,383,548,445,540,685
312,313,248,288,664,687,686,502,688
166,196,266,212,691,562,690,689,692
285,279,212,266,534,459,690,594,693
230,196,15,14,561,694,96,672,695
171,229,288,248,697,496,686,696,698
65,64,229,171,146,699,697,587,700
280,282,210,258,703,471,702,701,704
229,64,63,197,699,145,645,495,705
200,235,57,56,706,607,138,612,707
235,258,210,164,708,702,579,609,709
165,226,265,194,483,558,617,710,711
308,289,214,267,420,674,713,712,714
193,59,58,164,715,140,608,580,716
198,169,62,61,718,644,143,717,719
169,198,267,214,718,605,713,659,720
228,192,18,17,438,569,99,566,721
211,252,287,226,628,399,557,481,722
319,308,267,292,401,712,603,361,723
227,60,59,193,724,141,715,491,725
194,20,19,165,726,101,570,710,727
196,166,16,15,691,565,97,694,728
227,198,61,60,604,717,142,724,729
168,239,55,54,731,611,136,730,732
292,264,284,318,489,469,733,360,734
232,21,20,194,486,102,726,618,735
220,273,205,186,739,738,737,736,740
0,240,184,1,641,742,741,82,743
297,257,185,223,745,390,744,381,746
277,262,222,271,748,425,510,747,749
54,53,244,168,135,751,750,730,752
234,25,24,172,681,106,754,753,755
228,166,212,263,567,689,460,437,756
186,205,10,9,737,636,91,582,757
295,249,269,291,499,760,759,758,761
237,298,291,269,764,763,759,762,765
318,296,278,307,767,478,766,359,768
188,202,39,38,769,538,120,364,770
290,218,178,261,519,589,771,340,772
293,254,276,306,525,656,324,575,773
273,213,180,205,624,543,638,738,774
240,219,190,184,775,347,356,742,776
309,281,248,313,429,777,687,665,778
259,216,286,304,375,500,780,779,781
287,319,307,278,400,358,766,556,782
209,23,22,170,784,104,487,783,785
1,184,3,2,741,354,84,83,786
249,234,172,269,409,753,787,760,788
237,209,170,215,790,783,532,789,791
172,24,23,209,754,105,784,792,793
223,185,52,51,744,794,133,615,795
271,250,299,277,797,432,796,747,798
45,221,178,46,679,799,590,127,800
221,272,261,178,802,801,771,799,803
298,237,215,253,764,789,397,804,805
269,172,209,237,787,792,790,762,806
31,30,29,201,112,111,620,442,807
270,301,260,219,507,332,346,808,809
273,220,236,302,739,810,463,623,811
177,250,271,224,435,797,511,515,812
206,71,70,189,813,152,413,367,814
311,277,299,317,816,796,815,599,817
53,52,185,244,134,794,391,751,818
29,28,225,175,110,819,467,621,820
248,275,243,171,822,821,586,696,823
225,28,27,173,819,109,456,404,824
244,274,239,168,392,825,731,750,826
200,239,274,247,613,825,828,827,829
42,41,202,188,123,537,769,683,830
217,262,277,311,424,748,816,508,831
203,241,204,182,662,652,415,349,832
5,236,220,207,634,810,834,833,835
187,245,37,36,371,363,118,321,836
6,5,207,208,87,833,837,551,838
219,240,183,270,775,640,335,808,839
314,303,281,315,630,840,430,326,841
305,294,302,316,649,626,464,597,842
303,275,248,281,843,822,777,840,844
224,195,68,67,554,351,149,517,845
303,238,243,275,631,676,821,843,846
73,72,71,206,154,153,813,368,847
257,297,304,286,745,848,780,387,849
299,314,305,317,632,648,598,815,850
181,242,261,272,528,339,801,851,852
220,186,208,207,736,583,837,834,853
181,272,221,35,851,802,320,654,854
235,200,247,258,706,827,855,708,856
274,280,258,247,857,701,855,828,858
318,284,253,296,733,859,394,767,860
297,256,259,304,382,541,779,848,861
291,280,274,295,862,857,385,758,863
282,280,291,298,703,862,763,864,865
284,282,298,253,470,864,804,859,866
