12,14,13
14,18,17
4,10,16
12,13,25
0,33,2
26,28,27
26,36,28
15,7,29
13,17,41
30,31,43
47,49,48
49,4,16
57,29,31
11,3,58
38,42,52
55,59,8
34,35,56
5,6,40
34,62,35
66,19,9
70,42,38
47,48,27
27,76,75
68,32,30
61,65,77
20,79,6
47,27,28
10,81,16
44,45,83
6,79,40
65,89,77
82,19,67
88,21,15
30,32,90
1,69,91
10,93,81
55,8,94
71,22,23
95,42,96
50,37,97
52,42,95
29,99,15
69,105,104
58,45,44
65,34,89
51,97,37
32,85,46
89,42,77
30,90,31
111,100,109
5,40,56
64,86,28
26,27,75
23,112,115
116,9,19
91,69,117
30,43,118
122,37,50
45,126,94
39,78,43
101,54,102
36,26,57
80,29,7
79,20,2
101,53,54
132,116,19
101,102,124
93,53,101
46,106,133
87,98,60
23,85,112
99,88,15
78,39,63
100,115,112
43,78,118
129,130,136
76,105,75
51,110,97
58,3,92
127,72,124
130,138,137
117,104,72
140,101,124
109,100,112
57,31,90
142,74,73
140,81,101
56,40,34
82,132,19
29,80,31
71,23,115
22,85,23
137,50,97
113,87,135
33,96,79
84,69,1
108,17,18
98,111,125
61,145,103
4,49,120
134,97,110
90,36,57
67,66,119
21,88,84
142,73,100
130,82,138
43,80,39
108,59,55
57,99,29
138,74,113
36,64,28
147,12,25
47,28,86
68,85,32
48,49,16
67,73,74
76,104,105
144,76,48
80,43,31
54,131,102
68,112,85
138,82,74
103,65,61
41,94,126
24,46,85
89,34,40
103,149,62
104,144,72
148,134,110
25,13,123
121,60,98
60,121,145
140,124,72
81,93,101
82,67,74
22,24,85
152,35,62
143,129,136
105,84,88
35,153,56
32,46,133
129,143,102
100,73,115
155,52,139
126,58,92
91,117,148
20,6,156
122,50,154
133,106,64
143,127,124
132,82,130
108,157,59
102,131,129
114,158,141
109,112,68
152,63,39
45,58,126
81,140,16
113,135,154
5,56,159
150,160,25
94,8,146
41,17,55
69,84,105
90,32,133
90,133,36
14,12,161
104,76,144
128,61,77
136,137,97
162,4,120
163,70,38
118,78,125
30,118,68
164,61,128
13,41,123
24,147,106
26,99,57
8,59,166
60,135,87
10,167,93
63,125,78
160,151,106
159,80,7
84,168,21
143,134,127
17,108,55
158,120,86
92,3,114
142,98,87
105,88,75
168,2,20
102,143,124
142,87,113
130,137,136
141,170,150
94,83,45
98,125,121
37,122,163
63,149,121
153,39,80
151,170,86
8,171,146
161,24,22
21,156,15
155,110,51
52,95,139
70,77,42
129,131,132
3,162,114
119,66,107
167,11,58
49,47,120
89,96,42
142,113,74
83,172,44
129,132,130
111,109,125
138,113,154
142,111,98
92,141,123
133,64,36
146,83,94
65,62,34
60,164,135
70,173,128
111,142,100
14,174,18
136,97,134
92,114,141
115,119,71
118,125,109
107,71,119
165,131,54
33,0,175
139,33,176
140,72,144
117,72,127
120,47,86
16,144,48
174,22,71
9,116,171
137,138,154
157,107,66
151,86,64
96,89,40
169,110,155
166,66,9
0,2,177
95,96,33
169,176,91
127,134,148
137,154,50
123,141,150
16,140,144
63,121,125
127,148,117
136,134,143
96,40,79
106,151,64
170,158,86
170,141,158
65,103,62
154,135,122
54,172,165
150,25,123
26,75,99
178,38,52
91,176,175
176,33,175
177,84,1
147,160,106
25,160,147
153,159,56
153,80,159
165,116,131
99,75,88
172,54,53
173,122,135
156,179,15
179,156,6
169,148,110
126,123,41
115,73,119
68,118,109
149,152,62
152,149,63
171,166,9
8,166,171
145,149,103
145,121,149
1,91,175
178,155,51
155,178,52
2,168,177
168,84,177
180,174,71
18,174,180
164,173,135
128,173,164
181,162,3
4,162,181
119,73,67
163,122,173
70,163,173
182,83,146
70,128,77
183,167,58
93,167,183
172,182,165
172,83,182
123,126,92
158,162,120
114,162,158
148,169,91
147,161,12
24,161,147
171,182,146
171,116,182
164,145,61
145,164,60
37,178,51
180,157,108
180,107,157
33,139,95
182,116,165
166,157,66
166,59,157
0,177,175
177,1,175
174,161,22
14,161,174
35,152,153
152,39,153
168,20,156
21,168,156
176,155,139
176,169,155
167,181,11
10,181,167
183,172,53
44,172,183
37,163,178
163,38,178
179,159,7
179,5,159
170,160,150
170,151,160
13,14,17
41,55,94
183,53,93
183,58,44
79,2,33
179,6,5
179,7,15
46,24,106
19,66,67
180,71,107
180,108,18
76,27,48
131,116,132
69,104,117
181,3,11
181,10,4
