1,2,5,4,8,12,14,11
3,6,5,2,13,15,12,9
0,3,2,1,10,9,8,7
4,5,18,17,14,21,24,20
6,19,18,5,22,25,21,15
16,17,18,19,23,24,25,26
27,29,30,28,34,37,35,33
28,30,6,3,35,36,13,32
27,28,3,0,33,32,10,31
29,38,39,30,40,44,41,37
30,39,19,6,41,43,22,36
38,16,19,39,42,26,43,44
46,1,4,48,50,11,55,53
45,46,48,47,49,53,54,52
45,0,1,46,51,7,50,49
48,4,17,57,55,20,61,59
47,48,57,56,54,59,60,58
56,57,17,16,60,61,23,62
63,64,29,27,67,69,34,66
63,45,47,64,65,52,68,67
63,27,0,45,66,31,51,65
64,70,38,29,71,73,40,69
64,47,56,70,68,58,72,71
70,56,16,38,72,62,42,73
