2.616147555246215450e-01,9.999999999999997780e-02
3.212110666434662698e-01,9.999999999999997780e-02
3.212110666434662143e-01,1.228571428571428870e-01
2.616147555246215450e-01,1.228571428571428870e-01
2.616147555246215450e-01,9.999999999999997780e-02
3.212110666434662698e-01,9.999999999999997780e-02
2.616147555246215450e-01,1.228571428571428870e-01
2.914129110840439352e-01,9.999999999999997780e-02
3.212110666434662143e-01,1.114285714285715434e-01
2.914129110840438797e-01,1.228571428571428870e-01
2.616147555246215450e-01,1.114285714285715434e-01
2.616147555246215450e-01,9.999999999999997780e-02
3.212110666434662698e-01,9.999999999999997780e-02
2.616147555246215450e-01,1.228571428571428870e-01
2.914129110840439352e-01,9.999999999999997780e-02
2.616147555246215450e-01,1.114285714285715434e-01
2.616147555246215450e-01,9.999999999999997780e-02
3.212110666434662698e-01,9.999999999999997780e-02
3.212110666434662143e-01,1.228571428571428870e-01
2.616147555246215450e-01,1.228571428571428870e-01
2.616147555246215450e-01,9.999999999999997780e-02
3.212110666434662698e-01,9.999999999999997780e-02
2.616147555246215450e-01,1.228571428571428870e-01
2.914129110840439352e-01,9.999999999999997780e-02
3.212110666434662143e-01,1.114285714285715434e-01
2.914129110840438797e-01,1.228571428571428870e-01
2.616147555246215450e-01,1.114285714285715434e-01
3.212110666434662143e-01,1.457142857142857961e-01
2.616147555246215450e-01,1.457142857142857961e-01
2.616147555246215450e-01,1.457142857142857961e-01
3.212110666434662143e-01,1.342857142857143415e-01
2.914129110840438797e-01,1.457142857142857961e-01
2.616147555246215450e-01,1.342857142857143415e-01
2.616147555246215450e-01,1.457142857142857961e-01
2.616147555246215450e-01,1.342857142857143415e-01
3.212110666434662143e-01,1.457142857142857961e-01
2.616147555246215450e-01,1.457142857142857961e-01
2.616147555246215450e-01,1.457142857142857961e-01
3.212110666434662143e-01,1.342857142857143415e-01
2.914129110840438797e-01,1.457142857142857961e-01
2.616147555246215450e-01,1.342857142857143415e-01
3.212110666434661588e-01,1.685714285714285943e-01
2.616147555246215450e-01,1.685714285714285943e-01
2.616147555246215450e-01,1.685714285714285943e-01
3.212110666434662143e-01,1.571428571428572507e-01
2.914129110840438242e-01,1.685714285714285943e-01
2.616147555246215450e-01,1.571428571428572507e-01
2.616147555246215450e-01,1.685714285714285943e-01
2.616147555246215450e-01,1.571428571428572507e-01
