0,1,2,3,4,5,6,7,8,9,10,11,16,17,18,19,12,13,14,15
4,5,6,7,20,21,22,23,16,17,18,19,28,29,30,31,24,25,26,27
32,0,3,33,34,4,7,35,36,11,37,38,41,19,42,43,39,12,15,40
34,4,7,35,44,20,23,45,41,19,42,43,48,31,49,50,46,24,27,47
51,52,1,0,53,54,5,4,55,56,8,57,60,61,16,62,58,59,13,12
53,54,5,4,63,64,21,20,60,61,16,62,67,68,28,69,65,66,25,24
70,51,0,32,71,53,4,34,72,57,36,73,75,62,41,76,74,58,12,39
71,53,4,34,77,63,20,44,75,62,41,76,79,69,48,80,78,65,24,46
