9,2,11,10,13,12
14,0,7,16,8,15
1,5,3,6,17,4
3,25,1,26,28,4
2,29,11,31,30,13
41,5,1,43,6,44
5,35,3,51,36,17
11,33,9,34,52,12
45,14,7,53,15,46
59,54,47,61,64,63
65,60,49,66,69,68
0,25,7,27,70,8
14,29,0,71,32,16
55,56,23,58,73,72
54,55,37,57,75,74
9,41,2,76,42,10
20,47,37,48,77,38
19,49,21,50,78,22
18,23,39,24,79,40
21,60,59,81,62,80
82,19,21,84,22,85
18,86,23,87,89,24
11,82,33,83,94,34
35,86,3,95,88,36
39,56,65,101,67,100
45,7,102,46,105,104
39,102,18,103,110,40
20,37,111,38,114,113
127,47,20,129,48,130
49,19,131,50,133,132
35,5,111,51,112,135
33,127,9,136,128,52
14,45,131,53,137,134
96,5,41,99,43,138
9,96,41,97,138,76
90,65,49,139,68,93
65,90,39,139,92,100
55,23,106,72,108,140
37,55,106,75,140,107
115,59,47,141,63,117
21,59,115,80,141,116
29,123,11,142,126,30
29,14,123,71,124,142
7,25,119,70,143,120
25,3,119,26,121,143
115,127,33,148,136,118
127,115,47,148,117,129
39,90,102,92,149,103
90,45,102,91,104,149
45,90,131,91,150,137
90,49,131,93,132,150
102,119,18,151,122,110
102,7,119,105,120,151
18,119,86,122,152,87
119,3,86,121,88,152
14,131,123,134,153,124
131,19,123,133,125,153
5,96,111,99,154,112
96,20,111,98,113,154
9,127,96,128,155,97
127,20,96,130,98,155
86,35,106,95,109,156
23,86,106,89,156,108
111,37,106,114,107,157
35,111,106,135,157,109
144,59,60,158,62,147
144,54,59,146,61,158
56,144,65,145,159,67
144,60,65,147,66,159
55,144,56,160,145,58
144,55,54,160,57,146
11,123,82,126,161,83
123,19,82,125,84,161
82,115,33,162,118,94
82,21,115,85,116,162
29,163,0,165,166,32
163,29,2,165,31,164
163,41,1,167,44,168
41,163,2,167,164,42
0,163,25,166,169,27
163,1,25,168,28,169
47,54,37,64,74,77
60,21,49,81,78,69
56,39,23,101,79,73
