0,4,7,3,12,18,14,11,21
0,1,5,4,8,13,15,12,20
0,3,2,1,11,10,9,8,19
4,5,6,7,15,16,17,18,22
1,23,25,5,27,30,31,13,35
1,2,24,23,9,29,28,27,34
5,25,26,6,31,32,33,16,36
23,37,39,25,41,44,45,30,49
23,24,38,37,28,43,42,41,48
25,39,40,26,45,46,47,32,50
51,52,54,53,56,59,61,58,65
37,51,53,39,55,58,60,44,64
37,38,52,51,42,57,56,55,63
39,53,54,40,60,61,62,46,66
67,71,74,70,79,84,80,78,86
67,70,69,68,78,77,76,75,85
71,72,73,74,81,82,83,84,87
68,69,89,88,76,94,93,92,98
72,90,91,73,95,96,97,82,99
88,89,101,100,93,106,105,104,110
90,102,103,91,107,108,109,96,111
112,113,115,114,117,120,122,119,125
100,101,113,112,105,118,117,116,124
102,114,115,103,121,122,123,108,126
70,74,130,128,80,137,134,133,139
70,128,127,69,133,132,131,77,138
74,73,129,130,83,135,136,137,140
69,127,141,89,131,144,143,94,147
73,91,142,129,97,145,146,135,148
89,141,149,101,143,152,151,106,155
91,103,150,142,109,153,154,145,156
113,3,7,115,157,14,159,120,162
101,149,3,113,151,158,157,118,161
103,115,7,150,123,159,160,153,163
128,130,167,165,134,174,171,170,176
128,165,164,127,170,169,168,132,175
130,129,166,167,136,172,173,174,177
127,164,178,141,168,181,180,144,184
129,142,179,166,146,182,183,172,185
141,178,186,149,180,189,188,152,192
142,150,187,179,154,190,191,182,193
149,186,2,3,188,194,10,158,196
150,7,6,187,160,17,195,190,197
165,167,201,199,171,208,205,204,210
165,199,198,164,204,203,202,169,209
167,166,200,201,173,206,207,208,211
164,198,212,178,202,215,214,181,218
166,179,213,200,183,216,217,206,219
178,212,220,186,214,223,222,189,226
179,187,221,213,191,224,225,216,227
186,220,24,2,222,228,29,194,230
187,6,26,221,195,33,229,224,231
199,201,235,233,205,242,239,238,244
199,233,232,198,238,237,236,203,243
201,200,234,235,207,240,241,242,245
198,232,246,212,236,249,248,215,252
200,213,247,234,217,250,251,240,253
212,246,254,220,248,257,256,223,260
213,221,255,247,225,258,259,250,261
220,254,38,24,256,262,43,228,264
221,26,40,255,229,47,263,258,265
233,235,269,267,239,276,273,272,278
233,267,266,232,272,271,270,237,277
235,234,268,269,241,274,275,276,279
232,266,280,246,270,283,282,249,286
234,247,281,268,251,284,285,274,287
246,280,288,254,282,291,290,257,294
247,255,289,281,259,292,293,284,295
254,288,52,38,290,296,57,262,298
255,40,54,289,263,62,297,292,299
267,269,303,301,273,310,307,306,312
267,301,300,266,306,305,304,271,311
269,268,302,303,275,308,309,310,313
266,300,314,280,304,317,316,283,320
268,281,315,302,285,318,319,308,321
280,314,322,288,316,325,324,291,328
281,289,323,315,293,326,327,318,329
52,330,331,54,332,334,335,59,338
288,322,330,52,324,333,332,296,337
289,54,331,323,297,335,336,326,339
301,303,343,341,307,350,347,346,352
301,341,340,300,346,345,344,305,351
303,302,342,343,309,348,349,350,353
300,340,354,314,344,357,356,317,360
302,315,355,342,319,358,359,348,361
314,354,362,322,356,365,364,325,368
315,323,363,355,327,366,367,358,369
330,370,371,331,372,374,375,334,378
322,362,370,330,364,373,372,333,377
323,331,371,363,336,375,376,366,379
67,380,382,71,384,387,388,79,392
67,68,381,380,75,386,385,384,391
71,382,383,72,388,389,390,81,393
68,88,394,381,92,397,396,386,400
72,383,395,90,390,398,399,95,401
88,100,402,394,104,405,404,397,408
90,395,403,102,399,406,407,107,409
112,114,411,410,119,416,414,413,418
100,112,410,402,116,413,412,405,417
102,403,411,114,407,415,416,121,419
380,420,422,382,424,427,428,387,432
380,381,421,420,385,426,425,424,431
382,422,423,383,428,429,430,389,433
381,394,434,421,396,437,436,426,440
383,423,435,395,430,438,439,398,441
394,402,442,434,404,445,444,437,448
395,435,443,403,439,446,447,406,449
410,411,451,450,414,456,454,453,458
402,410,450,442,412,453,452,445,457
403,443,451,411,447,455,456,415,459
420,460,462,422,464,467,468,427,472
420,421,461,460,425,466,465,464,471
422,462,463,423,468,469,470,429,473
421,434,474,461,436,477,476,466,480
423,463,475,435,470,478,479,438,481
434,442,482,474,444,485,484,477,488
435,475,483,443,479,486,487,446,489
442,450,490,482,452,493,492,485,496
443,483,491,451,487,494,495,455,497
460,498,500,462,502,505,506,467,510
460,461,499,498,465,504,503,502,509
462,500,501,463,506,507,508,469,511
461,474,512,499,476,515,514,504,518
463,501,513,475,508,516,517,478,519
474,482,520,512,484,523,522,515,526
475,513,521,483,517,524,525,486,527
482,490,528,520,492,531,530,523,534
483,521,529,491,525,532,533,494,535
341,343,539,537,347,546,543,542,548
341,537,536,340,542,541,540,345,547
343,342,538,539,349,544,545,546,549
340,536,550,354,540,553,552,357,556
342,355,551,538,359,554,555,544,557
354,550,558,362,552,561,560,365,564
355,363,559,551,367,562,563,554,565
370,566,567,371,568,570,571,374,574
362,558,566,370,560,569,568,373,573
363,371,567,559,376,571,572,562,575
537,539,579,577,543,586,583,582,588
537,577,576,536,582,581,580,541,587
539,538,578,579,545,584,585,586,589
536,576,590,550,580,593,592,553,596
538,551,591,578,555,594,595,584,597
550,590,598,558,592,601,600,561,604
551,559,599,591,563,602,603,594,605
566,606,607,567,608,610,611,570,614
558,598,606,566,600,609,608,569,613
559,567,607,599,572,611,612,602,615
577,579,619,617,583,626,623,622,628
577,617,616,576,622,621,620,581,627
579,578,618,619,585,624,625,626,629
576,616,630,590,620,633,632,593,636
578,591,631,618,595,634,635,624,637
590,630,638,598,632,641,640,601,644
591,599,639,631,603,642,643,634,645
598,638,646,606,640,649,648,609,652
599,607,647,639,612,650,651,642,653
617,619,500,498,623,657,505,655,659
617,498,499,616,655,503,654,621,658
619,618,501,500,625,656,507,657,660
616,499,512,630,654,514,661,633,663
618,631,513,501,635,662,516,656,664
630,512,520,638,661,522,665,641,667
631,639,521,513,643,666,524,662,668
638,520,528,646,665,530,669,649,671
639,647,529,521,651,670,532,666,672
450,451,676,674,454,684,681,679,687
674,676,675,673,681,683,680,678,686
450,674,673,490,679,678,677,493,685
451,491,675,676,495,682,683,684,688
673,675,690,689,680,695,693,692,697
490,673,689,528,677,692,691,531,696
491,529,690,675,533,694,695,682,698
689,690,700,699,693,705,703,702,707
528,689,699,646,691,702,701,669,706
529,647,700,690,670,704,705,694,708
606,709,710,607,711,713,714,610,717
699,700,710,709,703,715,713,712,718
646,699,709,606,701,712,711,648,716
647,607,710,700,650,714,715,704,719
