112,130,114,16
155,65,37,5
125,169,149,58
132,119,126,23
49,40,147,16
93,167,158,67
124,80,153,62
166,10,145,97
103,144,90,32
20,131,137,5
151,158,111,24
159,64,82,83
147,130,38,16
123,42,161,2
148,24,72,27
165,157,101,30
93,148,134,27
102,63,170,3
142,82,116,7
77,162,164,58
35,136,101,30
124,94,152,67
156,96,109,3
171,115,150,97
170,91,102,3
162,157,92,29
170,63,43,3
139,32,127,83
172,81,100,30
55,122,138,25
133,157,162,29
127,135,173,83
166,88,105,10
116,78,113,7
147,40,154,16
161,48,144,2
31,166,36,10
165,30,100,27
103,174,139,32
171,58,146,97
171,150,58,97
46,106,90,32
171,150,146,58
37,137,155,5
115,145,70,97
139,174,127,32
154,114,130,16
166,145,129,97
153,112,121,62
116,113,142,7
151,148,158,24
108,129,146,97
72,26,175,27
29,58,18,25
148,151,72,24
176,162,92,25
141,168,111,52
36,166,89,10
172,100,165,30
161,144,123,2
172,165,101,30
176,149,162,25
166,105,89,10
157,175,26,27
68,143,159,83
152,66,120,67
136,81,172,30
90,174,103,32
135,64,173,83
148,72,175,27
124,153,94,62
155,137,131,5
12,160,141,52
176,92,55,25
139,127,173,83
147,154,130,16
153,121,94,62
150,56,77,58
158,120,111,67
134,165,100,27
91,170,109,3
127,174,106,32
171,146,129,97
136,172,101,30
43,156,170,3
145,115,171,97
117,168,163,52
169,146,150,58
106,174,90,32
176,55,138,25
140,163,160,52
156,109,170,3
64,159,173,83
175,134,148,27
175,157,165,27
158,152,120,67
176,98,149,25
143,139,173,83
158,167,152,67
159,143,173,83
169,164,149,58
176,138,98,25
171,129,145,97
124,152,167,67
150,77,164,58
134,175,165,27
150,164,169,58
160,163,168,52
141,160,168,52
73,97,56,115
56,97,73,6
25,34,122,1
25,122,34,55
114,62,23,121
23,62,114,16
52,42,140,163
52,140,42,2
27,104,99,134
27,99,104,39
3,123,42,156
3,42,123,2
52,95,42,163
52,42,95,1
83,142,82,159
83,82,142,7
