6,2,7
8,0,5
1,4,3
3,14,1
2,15,7
20,4,1
4,17,3
7,16,6
21,8,5
27,24,22
29,28,23
0,14,5
8,15,0
25,26,13
24,25,18
6,20,2
11,22,18
10,23,12
9,13,19
12,28,27
30,10,12
9,31,13
7,30,16
17,31,3
19,26,29
21,5,34
19,34,9
11,18,36
40,22,11
23,10,41
17,4,36
16,40,6
8,21,41
33,4,20
6,33,20
32,29,23
29,32,19
25,13,35
18,25,35
37,27,22
12,27,37
15,39,7
15,8,39
5,14,38
14,3,38
37,40,16
40,37,22
19,32,34
32,21,34
21,32,41
32,23,41
34,38,9
34,5,38
9,38,31
38,3,31
8,41,39
41,10,39
4,33,36
33,11,36
6,40,33
40,11,33
31,17,35
13,31,35
36,18,35
17,36,35
42,27,28
42,24,27
26,42,29
42,28,29
25,42,26
42,25,24
7,39,30
39,10,30
30,37,16
30,12,37
15,43,0
43,15,2
43,20,1
20,43,2
0,43,14
43,1,14
22,24,18
28,12,23
26,19,13
