0,4,7,3,12,18,14,11
0,1,5,4,8,13,15,12
0,3,2,1,11,10,9,8
4,5,6,7,15,16,17,18
1,19,21,5,23,26,27,13
1,2,20,19,9,25,24,23
5,21,22,6,27,28,29,16
19,30,32,21,34,37,38,26
19,20,31,30,24,36,35,34
21,32,33,22,38,39,40,28
41,42,44,43,46,49,51,48
30,41,43,32,45,48,50,37
30,31,42,41,35,47,46,45
32,43,44,33,50,51,52,39
53,57,60,56,65,70,66,64
53,56,55,54,64,63,62,61
57,58,59,60,67,68,69,70
54,55,72,71,62,77,76,75
58,73,74,59,78,79,80,68
71,72,82,81,76,87,86,85
73,83,84,74,88,89,90,79
91,92,94,93,96,99,101,98
81,82,92,91,86,97,96,95
83,93,94,84,100,101,102,89
56,60,106,104,66,113,110,109
56,104,103,55,109,108,107,63
60,59,105,106,69,111,112,113
55,103,114,72,107,117,116,77
59,74,115,105,80,118,119,111
72,114,120,82,116,123,122,87
74,84,121,115,90,124,125,118
92,3,7,94,126,14,128,99
82,120,3,92,122,127,126,97
84,94,7,121,102,128,129,124
104,106,133,131,110,140,137,136
104,131,130,103,136,135,134,108
106,105,132,133,112,138,139,140
103,130,141,114,134,144,143,117
105,115,142,132,119,145,146,138
114,141,147,120,143,150,149,123
115,121,148,142,125,151,152,145
120,147,2,3,149,153,10,127
121,7,6,148,129,17,154,151
131,133,158,156,137,165,162,161
131,156,155,130,161,160,159,135
133,132,157,158,139,163,164,165
130,155,166,141,159,169,168,144
132,142,167,157,146,170,171,163
141,166,172,147,168,175,174,150
142,148,173,167,152,176,177,170
147,172,20,2,174,178,25,153
148,6,22,173,154,29,179,176
156,158,183,181,162,190,187,186
156,181,180,155,186,185,184,160
158,157,182,183,164,188,189,190
155,180,191,166,184,194,193,169
157,167,192,182,171,195,196,188
166,191,197,172,193,200,199,175
167,173,198,192,177,201,202,195
172,197,31,20,199,203,36,178
173,22,33,198,179,40,204,201
181,183,208,206,187,215,212,211
181,206,205,180,211,210,209,185
183,182,207,208,189,213,214,215
