69,70,71
70,72,71
73,74,75
56,55,57
73,76,74
55,54,57
77,78,79
80,69,71
81,82,83
81,21,82
80,43,69
84,85,86
87,83,82
85,88,86
89,90,91
90,92,91
6,93,94
94,95,6
96,86,97
86,98,97
49,99,100
101,102,103
104,41,40
101,19,102
105,104,70
104,106,70
69,105,70
69,42,105
74,88,85
49,48,99
107,108,103
107,72,108
6,95,7
109,110,73
111,112,113
112,110,113
107,103,114
115,106,116
75,74,117
74,76,88
118,119,120
119,2,120
115,79,87
121,98,91
122,107,114
123,44,124
74,85,117
76,125,88
122,126,107
114,103,102
122,127,128
122,129,127
116,79,115
108,82,101
73,75,130
75,13,130
131,121,132
131,133,121
101,82,20
134,135,109
136,97,137
97,133,137
80,71,124
71,126,124
103,108,101
136,96,97
113,138,139
113,135,138
136,16,96
140,123,128
140,45,123
17,16,136
66,141,67
142,67,141
140,128,131
128,127,131
71,72,126
136,137,143
144,112,111
132,121,145
146,114,102
146,129,114
147,139,138
147,51,139
67,142,68
84,117,85
139,111,113
139,50,111
148,149,150
148,151,149
131,132,140
132,46,140
137,146,143
146,18,143
152,153,154
152,155,153
84,14,117
156,157,158
156,155,157
95,159,7
159,8,7
160,161,162
133,127,137
160,61,161
27,163,164
164,163,30
163,27,26
165,160,162
129,122,114
162,166,165
57,166,162
84,15,14
109,73,130
149,152,150
152,9,150
0,167,1
151,157,149
167,120,1
155,156,153
95,168,148
168,151,148
147,138,158
138,156,158
169,147,158
2,1,120
169,158,157
83,170,81
171,172,169
170,83,173
174,175,176
174,177,175
141,178,176
141,65,178
168,119,179
168,94,119
118,180,179
118,177,180
179,119,118
78,173,83
78,83,79
98,89,91
98,88,89
86,88,98
0,68,167
165,166,181
166,53,181
182,77,183
182,37,77
116,184,183
185,24,186
187,188,185
188,25,185
183,77,116
116,77,79
112,144,100
125,112,100
125,76,112
189,34,190
191,185,186
163,26,188
191,186,192
191,192,36
92,145,91
186,23,173
189,188,187
163,190,193
190,33,193
145,121,91
92,47,145
163,188,189
194,63,181
163,189,190
138,135,156
178,195,196
178,64,195
31,193,32
31,30,193
29,164,30
29,28,164
135,134,156
144,49,100
184,116,106
172,197,169
198,109,130
167,68,142
12,198,130
96,84,86
96,15,84
16,15,96
191,187,185
25,24,185
198,134,109
134,198,199
11,199,198
66,65,141
97,98,133
133,98,121
192,186,173
173,78,192
24,23,186
192,78,37
26,25,188
2,119,200
34,33,190
173,23,170
200,94,93
170,23,22
200,3,2
82,108,87
115,87,108
64,63,195
194,196,195
153,199,154
199,153,134
195,63,194
199,10,154
110,76,73
112,76,110
172,201,197
197,201,52
189,35,34
142,175,202
94,200,119
196,194,201
201,172,196
197,147,169
180,171,151
177,171,180
151,179,180
81,22,21
81,170,22
5,4,93
93,3,200
37,36,192
78,77,37
93,4,3
191,36,35
196,176,178
65,64,178
123,124,128
177,118,175
142,176,175
126,128,124
128,126,122
187,191,35
35,189,187
194,181,201
53,201,181
201,53,52
184,104,40
120,167,202
141,176,142
104,184,106
40,39,183
40,183,184
72,115,108
83,87,79
165,63,62
72,106,115
52,147,197
160,165,62
62,61,160
174,172,177
70,106,72
63,165,181
174,176,196
196,172,174
162,58,57
109,135,110
113,110,135
118,202,175
60,59,161
161,58,162
161,59,58
51,50,139
82,21,20
127,133,131
6,5,93
202,167,142
127,129,137
150,9,8
48,47,92
101,20,19
104,105,41
80,44,43
61,60,161
12,11,198
166,54,53
136,143,17
57,54,166
42,41,105
11,10,199
148,150,159
10,9,154
132,145,46
182,38,37
182,183,39
39,38,182
118,120,202
140,46,45
157,155,149
33,32,193
30,163,193
159,95,148
159,150,8
143,18,17
146,102,18
146,137,129
50,49,144
145,47,46
125,100,90
164,28,27
45,44,123
90,89,125
88,125,89
48,92,99
117,14,13
19,18,102
130,13,12
90,100,99
43,42,69
172,171,177
50,144,111
75,117,13
99,92,90
171,157,151
156,134,153
44,80,124
157,171,169
126,72,107
52,51,147
168,95,94
168,179,151
152,149,155
152,154,9
